,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
199,ABC,897,Alphabit,? ,$9.61,?,*,Low Vol,0.18%,2.56%,r_20170804-070005
200,WCT,145,Waves Communi...,"$12,244,940 ",$1.53,"7,997,270",*,"$5,629",5.96%,1.58%,r_20170804-070005
201,BTB,387,BitBar,"$414,378 ",$12.32,"33,630",$834,-13.75%,-20.32%,7.64%,r_20170804-070005
202,RAIN,329,Condensate,"$1,099,477 ",$0.021693,"50,682,810","$20,705",-0.98%,30.94%,8.98%,r_20170804-070005
203,KNC,700,KingN Coin,"$26,806 ",$13.37,"2,005",*,Low Vol,0.19%,6.56%,r_20170804-070005
204,NEOS,141,NeosCoin,"$12,690,606 ",$3.70,"3,431,721","$212,851",-0.65%,9.16%,16.17%,r_20170804-070005
205,HEAT,168,HEAT,"$9,328,753 ",$0.335577,"27,799,144",*,$597,0.28%,15.55%,r_20170804-070005
206,SCORE,422,Scorecoin,"$156,752 ",$0.005815,"26,956,000","$2,182",-2.57%,18.03%,-21.14%,r_20170804-070005
207,ZRC,259,ZrCoin,"$2,831,048 ",$1.16,"2,441,358",*,"$41,565",-0.47%,-0.13%,r_20170804-070005
208,XOC,743,Xonecoin,"$16,382 ",$0.039004,"420,000",*,Low Vol,0.26%,10.97%,r_20170804-070005
209,CREA,473,Creativecoin,"$1,691,334 ",$0.158831,"10,648,640",Low Vol,0.19%,-2.15%,-23.93%,r_20170804-070005
210,FXE,823,FuturXe,? ,$1.11,?,*,"$24,691",0.25%,4.25%,r_20170804-070005
211,ABY,248,ArtByte,"$3,419,759 ",$0.004331,"789,516,450",**,"$38,612",4.64%,13.08%,r_20170804-070005
212,EXCL,260,ExclusiveCoin,"$2,827,287 ",$0.677008,"4,176,150","$90,456",-3.83%,13.39%,4.06%,r_20170804-070005
213,XPD,580,PetroDollar,"$107,260 ",$0.001676,"63,993,275",Low Vol,43.61%,36.36%,43.45%,r_20170804-070005
214,OPES,964,Opescoin,? ,$0.000808,?,Low Vol,0.26%,-15.01%,-32.57%,r_20170804-070005
215,CACH,716,CacheCoin,"$23,373 ",$0.005571,"4,195,132",Low Vol,0.13%,-47.36%,-70.59%,r_20170804-070005
